"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Mustang Mach-E",3,2.07639348461346,0.0134232379396051,9,11,2,1,1,15,5,2,1,12,41,0,2,2,NA,NA,NA,485,36,NA,1,NA,66,747500,1,2,3,3,4,4,3,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,4,3,2
"Mustang Mach-E",3,2.93059606831691,0.0469936615791695,9,11,2,1,11,16,5,2,1,12,9,0,1,1,0,5000,NA,1500,NA,36,1,54000,35,780100,1,2,4,4,4,3,3,2,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,2,4,2,2
"Mustang Mach-E",3,0.614991038431071,-0.865849666519864,6,11,1,1,NA,28,NA,NA,NA,NA,26,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",3,3.72961470757173,-0.191603433764524,6,11,1,2,3,29,1,2,1,11,9,2,2,NA,11,1,1,1,NA,1,1,1,40,NA,33,2,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
"Bronco",2,-7.20759456832152,1.18870472935239,10,16,3,1,6,12,10,3,3,13,29,0,2,1,NA,NA,NA,554,48,NA,2,NA,1,NA,32,2,2,3,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,3,2,4,3
"Bronco",3,2.20538448577205,-1.90531916028379,7,16,2,2,4,29,3,3,1,2,35,1,2,1,0,NA,45000,1100,NA,60,1,84000,2,NA,7,2,3,4,4,4,3,3,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,3,2,2,4
"Bronco",3,0.307975711344766,-2.52257772638767,4,11,1,2,NA,12,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",3,-0.065174553897807,-2.53755412855553,11,16,4,1,NA,15,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",2,-7.46568463766978,1.83544019716232,8,11,2,2,NA,28,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74000,30,NA,NA,2,3,3,3,3,2,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,1,3,1,3,2
"Mustang Mach-E",3,0.867644492057909,-2.89089971442641,12,16,4,1,NA,14,NA,NA,NA,NA,27,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,51000,82,NA,NA,NA,2,2,2,2,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2
"Bronco",3,1.17028117563764,-3.50322554178258,7,16,1,1,1,28,5,2,1,3,4,0,2,1,56,20000,NA,1147,NA,36,1,60000,92,NA,24,2,4,3,4,2,2,1,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,1,2,3,2
"Mustang Mach-E",3,2.56464117828308,-0.650436751011371,13,11,4,1,6,28,6,2,1,22,36,0,2,NA,0,NA,NA,953,NA,72,1,58526,41,NA,10,1,3,3,4,3,1,1,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3,2,1,3
"Bronco",3,1.41679236035259,-3.03416554371689,13,11,4,1,NA,29,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronco",3,1.74852809548335,-2.52688588763406,10,13,2,2,1,16,6,4,1,11,18,0,1,1,NA,NA,20000,NA,NA,NA,1,NA,39,NA,10,2,3,4,4,4,3,1,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,3,4,3,2,2
"Mustang Mach-E",1,-0.756378416504336,10.1383316216508,10,11,3,1,3,33,6,1,1,12,30,0,1,NA,NA,NA,NA,NA,24,NA,NA,NA,41,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,5,3,3,5,5,4,5,4,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",3,2.36055773392505,-0.269523568901297,7,16,1,1,NA,28,NA,NA,NA,NA,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",3,1.29355689966077,-0.288891493941344,4,11,1,1,4,16,1,2,1,11,48,1,2,1,19,500,1500,703,NA,72,NA,47500,66,747500,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,2,4,4,4,4,5,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",3,0.351988359268386,-1.06058481989333,8,16,2,1,9,28,2,2,1,14,31,2,2,1,19,9000,4000,536,NA,72,1,53000,11,NA,23,2,4,3,3,2,2,2,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,2,3,1,3
"Mustang Mach-E",3,1.89283190427678,-0.0249828714052416,6,13,1,1,6,14,2,2,1,11,12,2,2,1,39,12000,500,600,NA,72,1,49000,66,386660,23,2,4,4,4,4,2,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,2,4,4,3
"Bronco",3,3.45892161866451,-0.531217181062208,10,13,3,1,NA,14,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",3,1.35017533904478,-0.860501432108401,10,11,3,2,NA,23,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",3,2.26165173476201,-0.56164256406078,8,16,2,1,1,28,5,2,1,3,5,0,2,NA,19,5000,NA,950,NA,36,2,60000,66,NA,33,2,4,4,4,4,2,1,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,4,4,2,1
"Bronco",2,-7.71388894674889,1.91518140507013,11,16,4,1,7,32,6,1,1,22,27,0,1,NA,NA,NA,NA,NA,NA,NA,NA,77713,92,NA,33,2,3,4,4,4,3,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,3,2,1,1
"Bronco",3,1.89532310035499,-1.71298296502708,10,16,3,2,1,23,6,3,1,10,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,52000,53,NA,10,2,3,3,3,3,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,3,3
"Bronco",2,-7.37040932299222,1.12802871488186,6,16,1,1,2,15,4,1,1,5,16,0,2,1,NA,NA,NA,650,72,NA,2,NA,30,NA,7,2,3,3,3,3,2,1,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,2,3,3,3
"Mustang Mach-E",1,-0.41398109589052,10.1428035100775,12,16,4,1,6,14,6,3,1,22,5,0,1,2,0,NA,22000,350,NA,60,1,55000,41,794500,23,2,4,3,4,3,2,1,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,2,2,3,2
"Mustang Mach-E",3,2.32368119012468,0.0102643437690546,4,13,1,1,1,14,4,3,1,14,41,0,1,1,29,7000,13500,578,NA,84,1,59000,81,505755,23,2,4,3,3,3,3,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,3,4,3
"Mustang Mach-E",3,1.48432480442113,-0.299241723197686,8,16,2,1,11,28,3,3,1,2,13,2,2,2,NA,NA,NA,560,36,NA,2,NA,13,NA,33,2,3,3,3,3,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,1,3,2
"Bronco",3,3.75139725439519,-0.329790940251672,10,15,3,1,NA,14,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,650,36,NA,3,NA,81,NA,NA,2,4,4,4,4,3,1,3,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,3,4
