"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Titan",5,3.01344982961749,0.18462235550621,13,14,4,1,NA,NA,NA,NA,NA,NA,40,NA,NA,1,30,30000,12000,209,NA,NA,1,66000,14,NA,NA,2,3,2,3,2,3,2,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,3,2,4
"Titan",5,3.13507604184582,-0.148165753144775,10,13,3,2,1,13,6,3,1,22,42,0,1,NA,0,5000,13000,978,NA,60,1,60000,47,NA,7,1,3,4,4,3,3,1,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,3,2,3,3
"Titan",5,3.0184741585984,0.224382294341396,9,16,2,1,NA,14,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",5,3.06604197576684,0.00697399817759625,6,16,1,1,NA,16,NA,NA,NA,NA,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",3,2.7101605549689,-9.19247915919419,8,16,2,1,2,14,2,2,1,17,11,4,2,1,0,7000,NA,820,NA,60,NA,55000,27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,4,5,5,4,5,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",3,3.58934525980959,-9.10685327780351,10,15,3,1,2,16,6,3,1,22,9,0,1,2,NA,NA,NA,NA,NA,NA,NA,68000,40,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,3,5,4,3,3,4,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",5,3.10980114361538,-0.104742646119717,10,16,3,2,4,20,10,3,3,14,36,0,1,1,64,40000,5000,371,NA,24,NA,47000,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,5,3,3,4,2,4,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",2,-6.83773865524124,-15.5919367881837,10,15,3,1,NA,16,NA,NA,NA,NA,31,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,3,4,4,4,4,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",5,3.11830912710204,-0.114577094695892,7,15,1,1,7,13,10,3,3,7,35,0,2,1,0,20000,NA,715,NA,60,NA,62000,38,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4,3,5,1,5,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"Titan",5,3.10599760564923,-0.130348710814205,11,15,4,1,NA,20,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
