"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Pathfinder",7,-3.35284015046286,10.2830399400832,13,11,4,1,1,28,6,2,1,22,20,0,1,1,NA,NA,29000,NA,NA,NA,NA,41000,61,NA,NA,2,3,1,1,1,3,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,2,3,1,2
"Pathfinder",6,3.98316200701921,-2.16719735535993,6,11,1,2,NA,14,3,3,1,3,1,2,2,1,0,40000,NA,266,NA,NA,2,56000,23,NA,10,2,4,3,4,3,2,3,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,2,4,2
"Pathfinder",6,2.02340250430201,0.131484771801742,4,13,1,2,6,25,1,3,1,20,11,2,2,2,NA,NA,NA,366,36,NA,1,NA,23,NA,10,2,2,2,3,3,3,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,2,4,2
"Pathfinder",6,-0.0221052742734833,0.408209485898425,9,16,2,2,NA,16,NA,NA,NA,NA,31,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,86,369910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pathfinder",7,-3.06404035416388,11.2948681194707,9,16,2,2,NA,13,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1,3,4,4,3,2,2,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,2,3,3,2
"Pathfinder",6,3.39453638298837,-0.942767720846288,13,16,5,1,1,14,6,3,1,22,41,0,2,1,39,35388,4000,294,NA,60,1,51310,48,NA,10,2,4,3,4,2,4,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,4,1,1,1
"Murano",7,-3.46098250154441,10.7576366258042,9,13,2,2,10,27,5,4,1,20,37,0,1,1,20,3000,NA,1200,NA,36,1,51000,23,NA,1,2,3,3,3,3,2,1,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,1,2,2
"Murano",7,-2.99848870378449,10.8140639042559,11,14,4,1,1,14,10,3,3,17,29,0,1,NA,NA,NA,NA,515,36,NA,1,NA,33,NA,10,1,2,3,4,3,2,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,4,2,2,3,2
"Murano",7,-3.31897463728513,10.2676626408076,11,15,3,2,1,20,10,2,3,22,32,0,1,1,39,NA,26000,732,NA,60,1,50801,23,NA,28,1,3,3,3,4,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,1,1,2,2
"Pathfinder",6,3.21982123494094,-1.01013117914323,9,NA,2,2,1,20,5,3,1,22,37,0,1,1,NA,NA,24000,NA,NA,NA,NA,48000,23,774000,28,2,4,3,3,2,3,1,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,1,1,3
